usage_id,user_id,feature_name,usage_date,usage_count,plan
FU000001,USR0001,Task Management,2024-06-29,10,Starter
FU000002,USR0001,Task Management,2024-05-12,14,Starter
FU000003,USR0001,Integrations,2024-06-16,11,Starter
FU000004,USR0001,Calendar View,2024-06-18,13,Starter
FU000005,USR0001,Calendar View,2024-05-05,3,Starter
FU000006,USR0001,Calendar View,2024-03-06,4,Starter
FU000007,USR0002,Task Management,2024-05-20,15,Enterprise
FU000008,USR0002,Team Chat,2024-05-21,8,Enterprise
FU000009,USR0002,Team Chat,2024-06-07,8,Enterprise
FU000010,USR0002,File Sharing,2024-05-31,3,Enterprise
FU000011,USR0002,File Sharing,2024-05-20,14,Enterprise
FU000012,USR0002,File Sharing,2024-06-30,4,Enterprise
FU000013,USR0002,Time Tracking,2024-05-01,1,Enterprise
FU000014,USR0002,Reporting & Analytics,2024-06-20,9,Enterprise
FU000015,USR0002,Reporting & Analytics,2024-05-27,3,Enterprise
FU000016,USR0002,Reporting & Analytics,2024-05-04,15,Enterprise
FU000017,USR0002,Integrations,2024-05-18,9,Enterprise
FU000018,USR0002,Integrations,2024-05-28,1,Enterprise
FU000019,USR0002,Calendar View,2024-05-16,14,Enterprise
FU000020,USR0002,Calendar View,2024-06-18,12,Enterprise
FU000021,USR0002,Calendar View,2024-06-05,13,Enterprise
FU000022,USR0002,Kanban Board,2024-05-30,2,Enterprise
FU000023,USR0002,Kanban Board,2024-06-11,10,Enterprise
FU000024,USR0002,Kanban Board,2024-06-29,12,Enterprise
FU000025,USR0003,Task Management,2024-06-26,7,Starter
FU000026,USR0003,File Sharing,2024-06-20,15,Starter
FU000027,USR0003,File Sharing,2024-06-20,3,Starter
FU000028,USR0003,Calendar View,2024-06-26,14,Starter
FU000029,USR0003,Calendar View,2024-06-29,9,Starter
FU000030,USR0003,Calendar View,2024-06-18,14,Starter
FU000031,USR0003,Calendar View,2024-06-20,7,Starter
FU000032,USR0003,Calendar View,2024-06-24,4,Starter
FU000033,USR0004,Task Management,2024-04-17,13,Growth
FU000034,USR0004,Task Management,2024-04-24,1,Growth
FU000035,USR0004,Task Management,2024-02-27,9,Growth
FU000036,USR0004,Task Management,2024-02-18,4,Growth
FU000037,USR0004,Task Management,2024-04-27,6,Growth
FU000038,USR0004,File Sharing,2024-03-21,7,Growth
FU000039,USR0004,File Sharing,2024-05-14,14,Growth
FU000040,USR0004,File Sharing,2024-03-09,13,Growth
FU000041,USR0004,Time Tracking,2024-03-12,7,Growth
FU000042,USR0004,Time Tracking,2024-03-27,10,Growth
FU000043,USR0004,Time Tracking,2024-06-28,1,Growth
FU000044,USR0004,Time Tracking,2024-04-12,3,Growth
FU000045,USR0004,Kanban Board,2024-04-02,1,Growth
FU000046,USR0004,Kanban Board,2024-05-29,14,Growth
FU000047,USR0004,Kanban Board,2024-06-04,6,Growth
FU000048,USR0005,Task Management,2024-05-03,10,Starter
FU000049,USR0005,Task Management,2024-05-25,8,Starter
FU000050,USR0005,Task Management,2024-06-05,10,Starter
FU000051,USR0005,Task Management,2024-03-27,12,Starter
FU000052,USR0005,Team Chat,2024-05-11,3,Starter
FU000053,USR0005,Team Chat,2024-06-28,10,Starter
FU000054,USR0005,Team Chat,2024-04-07,1,Starter
