session_id,user_id,session_date,session_duration_mins,device,plan
SESS000001,USR0001,2024-05-21,12,Mobile,Starter
SESS000002,USR0001,2024-05-04,37,Web,Starter
SESS000003,USR0001,2024-05-03,17,Mobile,Starter
SESS000004,USR0001,2024-04-27,30,Web,Starter
SESS000005,USR0001,2024-03-10,19,Web,Starter
SESS000006,USR0001,2024-05-07,29,Mobile,Starter
SESS000007,USR0001,2024-06-10,18,Mobile,Starter
SESS000008,USR0001,2024-03-08,43,Mobile,Starter
SESS000009,USR0001,2024-06-29,16,Web,Starter
SESS000010,USR0001,2024-03-06,15,Mobile,Starter
SESS000011,USR0002,2024-05-08,48,Desktop App,Enterprise
SESS000012,USR0002,2024-05-27,70,Web,Enterprise
SESS000013,USR0002,2024-06-28,36,Desktop App,Enterprise
SESS000014,USR0002,2024-05-29,88,Mobile,Enterprise
SESS000015,USR0002,2024-05-24,33,Desktop App,Enterprise
SESS000016,USR0002,2024-05-01,72,Web,Enterprise
SESS000017,USR0002,2024-05-26,73,Web,Enterprise
SESS000018,USR0002,2024-05-25,83,Web,Enterprise
SESS000019,USR0002,2024-06-29,24,Web,Enterprise
SESS000020,USR0002,2024-06-10,76,Desktop App,Enterprise
SESS000021,USR0002,2024-05-05,71,Web,Enterprise
SESS000022,USR0002,2024-06-11,71,Mobile,Enterprise
SESS000023,USR0002,2024-06-19,22,Desktop App,Enterprise
SESS000024,USR0002,2024-05-02,75,Desktop App,Enterprise
SESS000025,USR0002,2024-06-17,43,Web,Enterprise
SESS000026,USR0002,2024-06-10,21,Mobile,Enterprise
SESS000027,USR0002,2024-05-08,35,Web,Enterprise
SESS000028,USR0002,2024-06-02,62,Mobile,Enterprise
SESS000029,USR0002,2024-06-18,41,Web,Enterprise
SESS000030,USR0002,2024-05-17,73,Desktop App,Enterprise
SESS000031,USR0002,2024-05-30,55,Web,Enterprise
SESS000032,USR0002,2024-05-28,45,Desktop App,Enterprise
SESS000033,USR0002,2024-06-04,61,Web,Enterprise
SESS000034,USR0002,2024-05-14,82,Mobile,Enterprise
SESS000035,USR0002,2024-05-21,22,Desktop App,Enterprise
SESS000036,USR0002,2024-05-25,70,Web,Enterprise
SESS000037,USR0002,2024-05-20,73,Web,Enterprise
SESS000038,USR0002,2024-05-18,79,Web,Enterprise
SESS000039,USR0002,2024-05-01,24,Mobile,Enterprise
SESS000040,USR0002,2024-05-11,77,Web,Enterprise
SESS000041,USR0002,2024-05-12,41,Web,Enterprise
SESS000042,USR0002,2024-06-20,35,Mobile,Enterprise
SESS000043,USR0002,2024-05-15,44,Mobile,Enterprise
SESS000044,USR0002,2024-06-11,38,Mobile,Enterprise
SESS000045,USR0002,2024-05-26,58,Desktop App,Enterprise
SESS000046,USR0002,2024-06-02,87,Web,Enterprise
SESS000047,USR0002,2024-06-19,61,Desktop App,Enterprise
SESS000048,USR0002,2024-06-25,35,Desktop App,Enterprise
SESS000049,USR0002,2024-05-01,82,Desktop App,Enterprise
SESS000050,USR0002,2024-05-15,38,Desktop App,Enterprise
SESS000051,USR0003,2024-07-04,15,Mobile,Starter
SESS000052,USR0003,2024-07-04,23,Desktop App,Starter
SESS000053,USR0003,2024-07-01,18,Web,Starter
SESS000054,USR0003,2024-07-03,24,Web,Starter
SESS000055,USR0003,2024-06-25,26,Mobile,Starter
SESS000056,USR0003,2024-07-04,34,Mobile,Starter
SESS000057,USR0003,2024-06-26,44,Web,Starter
SESS000058,USR0003,2024-06-21,30,Mobile,Starter
SESS000059,USR0003,2024-06-19,13,Web,Starter
SESS000060,USR0003,2024-06-20,11,Mobile,Starter
SESS000061,USR0004,2024-03-21,47,Desktop App,Growth
SESS000062,USR0004,2024-03-18,35,Web,Growth
SESS000063,USR0004,2024-04-28,26,Mobile,Growth
SESS000064,USR0004,2024-05-21,56,Mobile,Growth
SESS000065,USR0004,2024-04-09,51,Web,Growth
SESS000066,USR0004,2024-04-26,17,Mobile,Growth
SESS000067,USR0004,2024-04-17,35,Web,Growth
SESS000068,USR0004,2024-04-08,49,Web,Growth
SESS000069,USR0004,2024-06-24,29,Web,Growth
SESS000070,USR0004,2024-06-08,20,Web,Growth
SESS000071,USR0004,2024-04-17,47,Mobile,Growth
SESS000072,USR0004,2024-05-01,19,Mobile,Growth
SESS000073,USR0004,2024-06-29,52,Desktop App,Growth
SESS000074,USR0004,2024-05-02,24,Web,Growth
SESS000075,USR0004,2024-06-03,28,Web,Growth
SESS000076,USR0004,2024-04-18,31,Web,Growth
SESS000077,USR0004,2024-05-28,35,Web,Growth
SESS000078,USR0004,2024-04-07,19,Web,Growth
SESS000079,USR0004,2024-04-23,59,Web,Growth
SESS000080,USR0005,2024-06-06,21,Web,Starter
SESS000081,USR0005,2024-04-15,22,Web,Starter
SESS000082,USR0005,2024-06-28,37,Desktop App,Starter
SESS000083,USR0005,2024-06-21,24,Web,Starter
SESS000084,USR0005,2024-05-09,10,Web,Starter
SESS000085,USR0005,2024-05-24,37,Web,Starter
SESS000086,USR0005,2024-03-28,24,Web,Starter
SESS000087,USR0005,2024-04-28,21,Mobile,Starter
SESS000088,USR0005,2024-06-12,28,Mobile,Starter
SESS000089,USR0005,2024-05-27,39,Mobile,Starter
SESS000090,USR0005,2024-04-24,11,Web,Starter
SESS000091,USR0005,2024-04-01,38,Web,Starter
SESS000092,USR0005,2024-06-03,36,Web,Starter
SESS000093,USR0006,2024-05-11,24,Web,Starter
SESS000094,USR0006,2024-03-07,28,Web,Starter
SESS000095,USR0006,2024-03-10,15,Mobile,Starter
SESS000096,USR0006,2024-05-06,21,Web,Starter
SESS000097,USR0006,2024-06-20,25,Web,Starter
SESS000098,USR0006,2024-05-31,23,Web,Starter
SESS000099,USR0006,2024-06-28,13,Web,Starter
SESS000100,USR0006,2024-05-21,45,Web,Starter
SESS000101,USR0006,2024-06-17,30,Web,Starter
SESS000102,USR0007,2024-05-11,43,Mobile,Growth
SESS000103,USR0007,2024-06-06,45,Web,Growth
SESS000104,USR0007,2024-06-04,37,Web,Growth
SESS000105,USR0007,2024-05-10,30,Desktop App,Growth
SESS000106,USR0007,2024-05-29,44,Mobile,Growth
SESS000107,USR0007,2024-06-28,38,Web,Growth
SESS000108,USR0007,2024-05-17,48,Web,Growth
SESS000109,USR0007,2024-05-04,52,Mobile,Growth
SESS000110,USR0007,2024-05-30,50,Mobile,Growth
SESS000111,USR0007,2024-05-11,53,Mobile,Growth
SESS000112,USR0007,2024-06-02,15,Web,Growth
SESS000113,USR0007,2024-05-10,43,Web,Growth
SESS000114,USR0007,2024-04-25,28,Web,Growth
SESS000115,USR0007,2024-06-08,21,Web,Growth
SESS000116,USR0007,2024-06-06,41,Web,Growth
SESS000117,USR0007,2024-06-05,21,Mobile,Growth
SESS000118,USR0007,2024-06-24,30,Web,Growth
SESS000119,USR0007,2024-05-16,27,Mobile,Growth
SESS000120,USR0007,2024-06-08,42,Web,Growth
SESS000121,USR0007,2024-06-21,41,Web,Growth
SESS000122,USR0007,2024-06-12,43,Web,Growth
SESS000123,USR0007,2024-06-20,24,Web,Growth
SESS000124,USR0007,2024-06-02,17,Web,Growth
SESS000125,USR0007,2024-04-26,24,Web,Growth
SESS000126,USR0007,2024-05-19,31,Web,Growth
SESS000127,USR0007,2024-04-28,48,Web,Growth
SESS000128,USR0007,2024-06-20,20,Desktop App,Growth
SESS000129,USR0007,2024-05-12,60,Web,Growth
SESS000130,USR0007,2024-05-14,22,Web,Growth
SESS000131,USR0007,2024-06-05,52,Web,Growth
SESS000132,USR0007,2024-06-03,52,Mobile,Growth
SESS000133,USR0008,2024-06-30,36,Web,Growth
SESS000134,USR0008,2024-06-30,23,Web,Growth
SESS000135,USR0008,2024-07-01,33,Mobile,Growth
SESS000136,USR0008,2024-07-01,37,Mobile,Growth
SESS000137,USR0008,2024-07-01,49,Web,Growth
SESS000138,USR0008,2024-07-01,53,Web,Growth
SESS000139,USR0008,2024-07-01,54,Web,Growth
SESS000140,USR0008,2024-06-30,50,Web,Growth
SESS000141,USR0008,2024-07-01,24,Desktop App,Growth
SESS000142,USR0008,2024-06-30,47,Desktop App,Growth
SESS000143,USR0008,2024-06-30,29,Web,Growth
SESS000144,USR0008,2024-06-30,27,Mobile,Growth
SESS000145,USR0008,2024-07-01,43,Web,Growth
SESS000146,USR0008,2024-06-30,29,Web,Growth
SESS000147,USR0008,2024-07-01,49,Web,Growth
SESS000148,USR0008,2024-07-01,42,Web,Growth
SESS000149,USR0008,2024-06-30,40,Desktop App,Growth
SESS000150,USR0008,2024-07-01,34,Web,Growth
SESS000151,USR0008,2024-07-01,40,Web,Growth
SESS000152,USR0008,2024-07-01,32,Web,Growth
SESS000153,USR0008,2024-06-30,37,Web,Growth
SESS000154,USR0008,2024-07-01,39,Desktop App,Growth
SESS000155,USR0008,2024-06-30,25,Mobile,Growth
SESS000156,USR0008,2024-07-01,45,Web,Growth
SESS000157,USR0008,2024-07-01,17,Web,Growth
SESS000158,USR0008,2024-07-01,52,Desktop App,Growth
SESS000159,USR0008,2024-07-01,36,Mobile,Growth
SESS000160,USR0008,2024-06-30,21,Mobile,Growth
SESS000161,USR0009,2024-05-10,27,Mobile,Growth
SESS000162,USR0009,2024-05-01,23,Web,Growth
SESS000163,USR0009,2024-05-05,38,Desktop App,Growth
SESS000164,USR0009,2024-05-16,43,Web,Growth
SESS000165,USR0009,2024-05-12,40,Web,Growth
SESS000166,USR0009,2024-05-07,43,Web,Growth
SESS000167,USR0009,2024-05-17,37,Web,Growth
SESS000168,USR0009,2024-05-01,36,Mobile,Growth
SESS000169,USR0009,2024-05-13,19,Web,Growth
SESS000170,USR0009,2024-04-29,51,Web,Growth
SESS000171,USR0009,2024-05-03,30,Web,Growth
SESS000172,USR0009,2024-04-28,56,Desktop App,Growth
SESS000173,USR0009,2024-05-12,28,Desktop App,Growth
SESS000174,USR0009,2024-05-09,59,Mobile,Growth
SESS000175,USR0009,2024-05-10,16,Web,Growth
SESS000176,USR0009,2024-04-28,40,Desktop App,Growth
SESS000177,USR0009,2024-05-06,30,Web,Growth
SESS000178,USR0009,2024-05-17,49,Mobile,Growth
SESS000179,USR0010,2024-05-09,45,Mobile,Starter
SESS000180,USR0010,2024-04-17,14,Web,Starter
SESS000181,USR0010,2024-06-19,38,Mobile,Starter
SESS000182,USR0010,2024-04-05,26,Web,Starter
SESS000183,USR0010,2024-04-27,19,Web,Starter
SESS000184,USR0010,2024-04-01,19,Mobile,Starter
SESS000185,USR0010,2024-05-31,11,Web,Starter
SESS000186,USR0010,2024-03-11,14,Mobile,Starter
SESS000187,USR0010,2024-03-17,27,Web,Starter
SESS000188,USR0010,2024-05-26,23,Web,Starter
SESS000189,USR0010,2024-06-30,10,Web,Starter
SESS000190,USR0010,2024-05-05,32,Desktop App,Starter
SESS000191,USR0010,2024-05-25,26,Mobile,Starter
SESS000192,USR0010,2024-05-12,32,Mobile,Starter
SESS000193,USR0011,2024-05-25,10,Web,Trial
SESS000194,USR0011,2024-06-07,19,Mobile,Trial
SESS000195,USR0011,2024-05-18,21,Web,Trial
SESS000196,USR0011,2024-05-30,13,Mobile,Trial
SESS000197,USR0011,2024-06-01,9,Mobile,Trial
SESS000198,USR0011,2024-06-20,16,Web,Trial
SESS000199,USR0011,2024-06-02,8,Web,Trial
SESS000200,USR0012,2024-06-23,15,Desktop App,Starter
SESS000201,USR0012,2024-06-19,24,Desktop App,Starter
SESS000202,USR0012,2024-06-20,12,Web,Starter
SESS000203,USR0012,2024-06-21,19,Mobile,Starter
SESS000204,USR0012,2024-06-23,43,Web,Starter
SESS000205,USR0012,2024-06-26,37,Web,Starter
SESS000206,USR0012,2024-06-24,32,Web,Starter
SESS000207,USR0012,2024-06-19,35,Mobile,Starter
SESS000208,USR0012,2024-06-14,10,Mobile,Starter
SESS000209,USR0012,2024-06-11,13,Mobile,Starter
SESS000210,USR0012,2024-06-22,43,Web,Starter
SESS000211,USR0012,2024-06-09,23,Web,Starter
SESS000212,USR0012,2024-06-14,18,Web,Starter
SESS000213,USR0012,2024-06-22,36,Mobile,Starter
SESS000214,USR0012,2024-06-24,41,Web,Starter
SESS000215,USR0012,2024-06-08,39,Web,Starter
SESS000216,USR0012,2024-06-16,35,Web,Starter
SESS000217,USR0012,2024-06-11,26,Web,Starter
SESS000218,USR0013,2024-04-25,5,Mobile,Trial
SESS000219,USR0013,2024-04-21,22,Mobile,Trial
SESS000220,USR0013,2024-04-18,15,Web,Trial
SESS000221,USR0014,2024-06-22,51,Mobile,Growth
SESS000222,USR0014,2024-04-06,57,Desktop App,Growth
SESS000223,USR0014,2024-06-07,26,Mobile,Growth
SESS000224,USR0014,2024-04-23,16,Web,Growth
SESS000225,USR0014,2024-06-04,40,Desktop App,Growth
SESS000226,USR0014,2024-05-23,29,Web,Growth
SESS000227,USR0014,2024-06-09,52,Web,Growth
SESS000228,USR0014,2024-06-22,15,Mobile,Growth
SESS000229,USR0014,2024-05-24,22,Mobile,Growth
SESS000230,USR0014,2024-04-20,23,Mobile,Growth
SESS000231,USR0014,2024-04-27,47,Web,Growth
SESS000232,USR0014,2024-05-26,38,Desktop App,Growth
SESS000233,USR0014,2024-06-10,23,Web,Growth
SESS000234,USR0014,2024-06-18,34,Mobile,Growth
SESS000235,USR0014,2024-04-14,47,Web,Growth
SESS000236,USR0014,2024-05-30,25,Web,Growth
SESS000237,USR0014,2024-05-12,34,Web,Growth
SESS000238,USR0015,2024-06-01,22,Web,Growth
SESS000239,USR0015,2024-05-31,44,Mobile,Growth
SESS000240,USR0015,2024-06-18,59,Mobile,Growth
SESS000241,USR0015,2024-06-06,16,Web,Growth
SESS000242,USR0015,2024-06-04,32,Web,Growth
SESS000243,USR0015,2024-06-08,51,Mobile,Growth
SESS000244,USR0015,2024-06-03,45,Mobile,Growth
SESS000245,USR0015,2024-06-18,57,Web,Growth
SESS000246,USR0015,2024-06-03,19,Web,Growth
SESS000247,USR0015,2024-06-09,28,Mobile,Growth
SESS000248,USR0015,2024-05-27,37,Web,Growth
SESS000249,USR0015,2024-05-25,43,Mobile,Growth
SESS000250,USR0015,2024-06-15,49,Web,Growth
SESS000251,USR0016,2024-04-12,17,Mobile,Starter
SESS000252,USR0016,2024-05-07,21,Desktop App,Starter
SESS000253,USR0016,2024-05-04,45,Web,Starter
SESS000254,USR0016,2024-04-07,29,Mobile,Starter
SESS000255,USR0016,2024-03-01,32,Mobile,Starter
SESS000256,USR0017,2024-06-18,87,Web,Enterprise
SESS000257,USR0017,2024-06-12,77,Web,Enterprise
SESS000258,USR0017,2024-04-17,77,Mobile,Enterprise
SESS000259,USR0017,2024-05-06,43,Web,Enterprise
SESS000260,USR0017,2024-04-15,21,Desktop App,Enterprise
SESS000261,USR0017,2024-05-01,63,Web,Enterprise
SESS000262,USR0017,2024-04-13,41,Desktop App,Enterprise
SESS000263,USR0017,2024-06-12,24,Web,Enterprise
SESS000264,USR0017,2024-06-08,72,Mobile,Enterprise
SESS000265,USR0017,2024-06-17,20,Mobile,Enterprise
SESS000266,USR0017,2024-04-23,62,Mobile,Enterprise
SESS000267,USR0017,2024-04-22,50,Desktop App,Enterprise
SESS000268,USR0017,2024-05-22,61,Web,Enterprise
SESS000269,USR0017,2024-06-06,86,Mobile,Enterprise
SESS000270,USR0017,2024-04-26,26,Web,Enterprise
SESS000271,USR0017,2024-06-18,49,Web,Enterprise
SESS000272,USR0017,2024-05-21,89,Mobile,Enterprise
SESS000273,USR0017,2024-05-06,31,Mobile,Enterprise
SESS000274,USR0017,2024-04-27,29,Mobile,Enterprise
SESS000275,USR0017,2024-06-12,80,Web,Enterprise
SESS000276,USR0017,2024-04-26,27,Web,Enterprise
SESS000277,USR0017,2024-06-28,80,Web,Enterprise
SESS000278,USR0017,2024-04-27,88,Web,Enterprise
SESS000279,USR0018,2024-05-14,16,Mobile,Trial
SESS000280,USR0018,2024-05-03,5,Web,Trial
SESS000281,USR0018,2024-05-06,6,Mobile,Trial
SESS000282,USR0018,2024-05-10,18,Web,Trial
SESS000283,USR0018,2024-05-17,21,Mobile,Trial
SESS000284,USR0018,2024-05-03,5,Web,Trial
SESS000285,USR0018,2024-05-11,18,Web,Trial
SESS000286,USR0019,2024-04-16,12,Mobile,Trial
SESS000287,USR0019,2024-03-12,5,Web,Trial
SESS000288,USR0019,2024-05-01,25,Mobile,Trial
SESS000289,USR0020,2024-05-31,6,Mobile,Trial
SESS000290,USR0020,2024-06-12,7,Web,Trial
SESS000291,USR0020,2024-05-27,25,Mobile,Trial
SESS000292,USR0020,2024-05-30,6,Web,Trial
SESS000293,USR0020,2024-05-19,13,Mobile,Trial
SESS000294,USR0020,2024-06-09,12,Web,Trial
SESS000295,USR0021,2024-03-30,7,Mobile,Trial
SESS000296,USR0021,2024-05-07,15,Web,Trial
SESS000297,USR0021,2024-04-08,20,Web,Trial
SESS000298,USR0021,2024-03-18,5,Mobile,Trial
SESS000299,USR0021,2024-02-20,16,Web,Trial
SESS000300,USR0022,2024-06-30,33,Desktop App,Starter
SESS000301,USR0022,2024-06-25,25,Desktop App,Starter
SESS000302,USR0022,2024-06-28,10,Web,Starter
SESS000303,USR0022,2024-06-22,41,Web,Starter
SESS000304,USR0022,2024-06-27,19,Mobile,Starter
SESS000305,USR0022,2024-06-21,40,Mobile,Starter
SESS000306,USR0022,2024-06-25,23,Mobile,Starter
SESS000307,USR0022,2024-06-28,19,Mobile,Starter
SESS000308,USR0022,2024-06-24,44,Web,Starter
SESS000309,USR0022,2024-06-22,39,Desktop App,Starter
SESS000310,USR0022,2024-06-20,41,Web,Starter
SESS000311,USR0022,2024-06-28,20,Desktop App,Starter
SESS000312,USR0022,2024-06-24,20,Web,Starter
SESS000313,USR0022,2024-06-25,32,Mobile,Starter
SESS000314,USR0023,2024-06-23,19,Web,Starter
SESS000315,USR0023,2024-06-28,19,Web,Starter
SESS000316,USR0023,2024-06-18,10,Web,Starter
SESS000317,USR0023,2024-06-28,19,Desktop App,Starter
SESS000318,USR0023,2024-06-27,39,Web,Starter
SESS000319,USR0023,2024-06-21,15,Web,Starter
SESS000320,USR0023,2024-06-30,44,Web,Starter
SESS000321,USR0023,2024-06-27,43,Web,Starter
SESS000322,USR0024,2024-06-15,27,Mobile,Growth
SESS000323,USR0024,2024-06-13,42,Web,Growth
SESS000324,USR0024,2024-05-20,33,Web,Growth
SESS000325,USR0024,2024-06-02,18,Mobile,Growth
SESS000326,USR0024,2024-05-25,33,Web,Growth
SESS000327,USR0024,2024-06-28,56,Web,Growth
SESS000328,USR0024,2024-05-06,57,Web,Growth
SESS000329,USR0024,2024-06-29,31,Web,Growth
SESS000330,USR0024,2024-05-26,34,Web,Growth
SESS000331,USR0024,2024-06-21,48,Web,Growth
SESS000332,USR0024,2024-05-01,34,Web,Growth
SESS000333,USR0024,2024-06-05,48,Web,Growth
SESS000334,USR0025,2024-05-25,43,Mobile,Growth
SESS000335,USR0025,2024-05-05,56,Web,Growth
SESS000336,USR0025,2024-02-28,42,Web,Growth
SESS000337,USR0025,2024-03-26,30,Desktop App,Growth
SESS000338,USR0025,2024-06-04,29,Web,Growth
SESS000339,USR0025,2024-06-17,32,Web,Growth
SESS000340,USR0025,2024-05-11,47,Mobile,Growth
SESS000341,USR0025,2024-05-08,17,Web,Growth
SESS000342,USR0025,2024-06-23,49,Desktop App,Growth
SESS000343,USR0025,2024-03-04,52,Mobile,Growth
SESS000344,USR0025,2024-04-01,23,Mobile,Growth
SESS000345,USR0026,2024-02-17,18,Web,Trial
SESS000346,USR0026,2024-01-10,19,Web,Trial
SESS000347,USR0026,2024-02-16,19,Mobile,Trial
SESS000348,USR0026,2024-01-25,7,Mobile,Trial
SESS000349,USR0026,2024-02-14,11,Mobile,Trial
SESS000350,USR0026,2024-01-25,14,Web,Trial
SESS000351,USR0026,2024-02-09,25,Mobile,Trial
SESS000352,USR0027,2024-04-18,24,Web,Trial
SESS000353,USR0027,2024-05-28,14,Web,Trial
SESS000354,USR0027,2024-04-24,20,Web,Trial
SESS000355,USR0028,2024-05-07,30,Web,Starter
SESS000356,USR0028,2024-05-29,23,Mobile,Starter
SESS000357,USR0028,2024-06-03,42,Web,Starter
SESS000358,USR0028,2024-05-21,17,Mobile,Starter
SESS000359,USR0028,2024-06-09,14,Web,Starter
SESS000360,USR0028,2024-05-06,13,Web,Starter
SESS000361,USR0028,2024-06-13,29,Mobile,Starter
SESS000362,USR0028,2024-06-24,35,Mobile,Starter
SESS000363,USR0028,2024-06-14,18,Web,Starter
SESS000364,USR0028,2024-05-15,20,Desktop App,Starter
SESS000365,USR0028,2024-06-01,27,Desktop App,Starter
SESS000366,USR0028,2024-05-19,26,Web,Starter
SESS000367,USR0028,2024-06-06,14,Mobile,Starter
SESS000368,USR0028,2024-05-22,33,Desktop App,Starter
SESS000369,USR0028,2024-06-20,22,Web,Starter
SESS000370,USR0028,2024-05-24,30,Mobile,Starter
SESS000371,USR0029,2024-06-24,12,Mobile,Starter
SESS000372,USR0029,2024-06-29,24,Web,Starter
SESS000373,USR0029,2024-06-29,19,Mobile,Starter
SESS000374,USR0029,2024-06-29,18,Web,Starter
